Item,Reference,Quantity,Category,Description,Value,Package,Manufacturer,Manufacturer Part Number,Supplier,Supplier Part Number,Assembly,Revision Status,Selection Status,Notes
1,U1,1,IC,Low-power CMOS timer,ICM7555,SOIC-8,TBD,TBD,TBD,TBD,SMT,Existing,Approved,Autofire oscillator
2,D2,1,Diode,Small-signal switching diode,1N4148,TBD,TBD,TBD,TBD,TBD,SMT,Existing,Approved,Autofire timing circuit
3,Q1-Qx,TBD,MOSFET,N-channel MOSFET,2N7002,SOT-23,TBD,TBD,TBD,TBD,SMT,Existing,Approved,Joystick output and FIRE control
4,R8,1,Resistor,Autofire slow timing resistor,150 kOhm,1206,TBD,TBD,TBD,TBD,SMT,Existing,Approved,SLOW autofire setting
5,R9,1,Resistor,Autofire fast timing resistor,68 kOhm,1206,TBD,TBD,TBD,TBD,SMT,Existing,Approved,FAST autofire setting
6,R17,1,Resistor,FIRE1 gate resistor,10 kOhm,1206,TBD,TBD,TBD,TBD,SMT,Existing,Approved,Long-press and debounce behaviour
7,C1,1,Capacitor,FIRE1 timing capacitor,220 nF,1206,TBD,TBD,TBD,TBD,SMT,Existing,Approved,FIRE1 shot-gate timing
8,SW_DIR,TBD,Switch,MX-compatible keyboard switch,TBD,MX style,TBD,TBD,TBD,TBD,Mechanical,Existing,TBD,UP DOWN LEFT RIGHT switches
9,SW_FIRE,4,Switch,MX-compatible keyboard switch,TBD,MX style,TBD,TBD,TBD,TBD,Mechanical,Existing,TBD,Two FIRE1 and two FIRE2 switches
10,HS1-HSx,TBD,Socket,MX-compatible hot-swap socket,TBD,SMD,TBD,TBD,TBD,TBD,SMT,New,Evaluation,New in Revision 1.5
11,SW_AUTO1,1,Switch,Autofire enable switch,SPST,TBD,TBD,TBD,TBD,TBD,Mechanical,Existing,Approved,Autofire ON/OFF control
12,SW_SPEED1,1,Switch,Autofire speed selector,SP3T,TBD,TBD,TBD,TBD,TBD,Mechanical,Existing,Approved,OFF SLOW FAST or speed selection
13,D1,1,LED,Power status LED,TBD,TBD,TBD,TBD,TBD,TBD,SMT,Modified,Evaluation,Final colour and type TBD
14,D3,1,LED,Autofire status LED,TBD,TBD,TBD,TBD,TBD,TBD,SMT,Modified,Evaluation,May be replaced by bicolour LED
15,F1,1,Protection,Resettable PTC fuse,TBD,TBD,TBD,TBD,TBD,TBD,SMT,New,Evaluation,Joystick-port power protection
16,D_ESD,TBD,Protection,Low-capacitance ESD protection array,TBD,TBD,TBD,TBD,TBD,TBD,SMT,New,Evaluation,Protects external DB9 signal lines
17,J1,1,Connector,DB9 joystick connector,DE-9,TBD,TBD,TBD,TBD,TBD,Mechanical,Existing,TBD,Host computer interface
18,C_DECOUPLE,TBD,Capacitor,IC supply decoupling capacitor,100 nF,1206,TBD,TBD,TBD,TBD,SMT,Existing,Approved,Placed near ICM7555
19,PCB1,1,PCB,WASDPad Revision 1.5 printed circuit board,TBD,TBD,TBD,TBD,TBD,TBD,Mechanical,New,TBD,Final PCB specification pending
20,ENC1,1,Mechanical,3D printed enclosure,TBD,TBD,TBD,TBD,TBD,TBD,Mechanical,Modified,TBD,Revision 1.5 enclosure compatibility
