Designator,MPN,Quantity,Footprint,Description,JLCPCB Part #,Layer,Assembly
U3,PCM12SMTR,1,PCM12SMTR_CNK,"C&K PCM12SMTR SMD slide switch for key backlight, bottom side",,Bottom,Bottom SMD
C1,1206B224K500NT,1,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,220 nF X7R timing capacitor,C1857,Top,Top SMD
C2,CL31B104KBCNNNC,1,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100 nF X7R capacitor,C24497,Top,Top SMD
C3,CL31B104KBCNNNC,1,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100 nF X7R capacitor,C24497,Top,Top SMD
D1,3RD-F,1,LED_THT:LED_D3.0mm,Bivar 3 mm red THT power/status LED (default red option),,Top,THT
D2,1N4148,1,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,"100 V small-signal switching diode, THT DO-35",,Top,THT
D4,PESD5V0S4UD,1,Package_TO_SOT_SMD:SC-74-6_1.55x2.9mm_P0.95mm,5 V quad ESD protection array,C2987082,Top,Top SMD
D5,PESD5V0S4UD,1,Package_TO_SOT_SMD:SC-74-6_1.55x2.9mm_P0.95mm,5 V quad ESD protection array,C2987082,Top,Top SMD
D6,TPE0562BC3,1,Package_TO_SOT_SMD:SOT-323_SC-70,"5 V dual-line ESD/TVS protection device, validated replacement",C2841389,Top,Top SMD
D7,3BC-3-F,1,LED_THT:LED_D3.0mm-3,"Bivar 3 mm red/green bi-color LED, common cathode pin 2",,Top,THT
D8,XL-2012WWC,1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,0805 white SMD LED for key backlight,C965820,Top,Top SMD
D9,XL-2012WWC,1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,0805 white SMD LED for key backlight,C965820,Top,Top SMD
D10,XL-2012WWC,1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,0805 white SMD LED for key backlight,C965820,Top,Top SMD
D11,XL-2012WWC,1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,0805 white SMD LED for key backlight,C965820,Top,Top SMD
D12,XL-2012WWC,1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,0805 white SMD LED for key backlight,C965820,Top,Top SMD
D13,XL-2012WWC,1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,0805 white SMD LED for key backlight,C965820,Top,Top SMD
D14,XL-2012WWC,1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,0805 white SMD LED for key backlight,C965820,Top,Top SMD
D15,XL-2012WWC,1,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,0805 white SMD LED for key backlight,C965820,Top,Top SMD
F2,1206L005/30WR,1,Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,"Resettable PTC fuse, 1206",C3760487,Top,Top SMD
Q1_Q_FIRE_INV1,2N7002LT1G,1,Package_TO_SOT_SMD:SOT-23,"2N7002 N-channel MOSFET, SOT-23",C16338,Top,Top SMD
Q2_Q_AF_INV1,2N7002LT1G,1,Package_TO_SOT_SMD:SOT-23,"2N7002 N-channel MOSFET, SOT-23",C16338,Top,Top SMD
Q3_Q_SHOT_BLOCK1,2N7002LT1G,1,Package_TO_SOT_SMD:SOT-23,"2N7002 N-channel MOSFET, SOT-23",C16338,Top,Top SMD
Q4_Q_FIRE1_SHOT1,2N7002LT1G,1,Package_TO_SOT_SMD:SOT-23,"2N7002 N-channel MOSFET, SOT-23",C16338,Top,Top SMD
