Designator,Mid X,Mid Y,Layer,Rotation,Mounting
U3,60.9600mm,-88.6700mm,Bottom,0,SMD
C1,217.4625mm,-73.6600mm,Top,0,SMD
C2,156.2100mm,-66.0400mm,Top,180,SMD
C3,156.2100mm,-71.1200mm,Top,0,SMD
D1,122.1950mm,-45.7200mm,Top,0,THT
D2,151.1300mm,-86.3600mm,Top,0,THT
D4,74.9300mm,-40.6400mm,Top,270,SMD
D5,68.5800mm,-40.6400mm,Top,270,SMD
D6,113.0300mm,-48.2600mm,Top,270,SMD
D7,166.6350mm,-45.7200mm,Top,0,THT
D8,31.5050mm,-95.2500mm,Top,180,SMD
D9,46.7450mm,-114.3000mm,Top,180,SMD
D10,124.4600mm,-95.2500mm,Top,180,SMD
D11,105.1300mm,-114.3000mm,Top,180,SMD
D12,124.1800mm,-114.3000mm,Top,180,SMD
D13,143.2650mm,-114.3000mm,Top,180,SMD
D14,201.6500mm,-114.3000mm,Top,180,SMD
D15,216.9250mm,-95.2500mm,Top,180,SMD
F2,96.5200mm,-54.6100mm,Top,90,SMD
Q1_Q_FIRE_INV1,169.8475mm,-73.6600mm,Top,180,SMD
Q2_Q_AF_INV1,169.8475mm,-79.6900mm,Top,180,SMD
Q3_Q_SHOT_BLOCK1,169.8475mm,-86.3600mm,Top,180,SMD
Q4_Q_FIRE1_SHOT1,169.8475mm,-92.7100mm,Top,180,SMD
Q5_Q_AF_NOBTN_CLAMP1,187.0225mm,-73.6600mm,Top,180,SMD
Q6_Q_AF_OFF_CLAMP1,187.0225mm,-79.6900mm,Top,180,SMD
Q7_Q_FIRE1_AF1,187.0225mm,-86.3600mm,Top,180,SMD
Q8_SLOW1,209.5500mm,-73.6600mm,Top,180,SMD
Q9_FAST1,209.5500mm,-63.5000mm,Top,180,SMD
R1,77.4700mm,-67.3100mm,Top,0,SMD
R2,77.4700mm,-73.1400mm,Top,0,SMD
R3,77.4700mm,-78.7400mm,Top,0,SMD
R4,77.4700mm,-83.8200mm,Top,0,SMD
R5,77.4700mm,-88.9000mm,Top,0,SMD
R6,77.4700mm,-93.9800mm,Top,0,SMD
R7,77.4700mm,-99.0600mm,Top,0,SMD
R8,87.3500mm,-67.3100mm,Top,0,SMD
R9,87.3500mm,-73.1000mm,Top,0,SMD
R10,87.3500mm,-78.7400mm,Top,0,SMD
R11,87.3500mm,-83.8200mm,Top,0,SMD
R12,87.3500mm,-88.9000mm,Top,0,SMD
R13,87.3500mm,-93.9800mm,Top,0,SMD
R14,87.3500mm,-99.0600mm,Top,0,SMD
R15,96.8000mm,-67.3100mm,Top,0,SMD
R16,96.8000mm,-72.3900mm,Top,0,SMD
R17,156.2100mm,-60.9600mm,Top,180,SMD
R18,199.6700mm,-81.2800mm,Top,0,SMD
R19,199.6700mm,-91.4400mm,Top,180,SMD
R20,199.6700mm,-86.3600mm,Top,0,SMD
R21,206.0200mm,-45.7200mm,Top,0,SMD
R22,199.6700mm,-72.3900mm,Top,0,SMD
R23,209.5500mm,-49.5300mm,Top,0,SMD
R24,25.4350mm,-95.2500mm,Top,0,SMD
R25,41.3500mm,-114.3000mm,Top,0,SMD
R26,119.0650mm,-95.2500mm,Top,0,SMD
R27,98.7800mm,-114.3000mm,Top,0,SMD
R28,117.8300mm,-114.3000mm,Top,0,SMD
R29,136.9150mm,-114.3000mm,Top,0,SMD
R30,195.3000mm,-114.3000mm,Top,0,SMD
R31,210.5750mm,-95.2500mm,Top,0,SMD
R_LED1,123.4700mm,-53.3400mm,Top,0,SMD
SW1,124.4600mm,-86.3600mm,Bottom,0,SMD
SW2,124.4600mm,-105.4100mm,Bottom,0,SMD
SW3,105.4100mm,-105.4100mm,Bottom,0,SMD
SW4,143.5100mm,-105.4100mm,Bottom,0,SMD
SW5,31.7500mm,-86.3600mm,Bottom,0,SMD
SW6,217.1700mm,-86.3600mm,Bottom,0,SMD
SW7,46.9900mm,-105.4100mm,Bottom,0,SMD
SW8,201.9300mm,-105.4100mm,Bottom,0,SMD
SW_AUTO1,137.1600mm,-45.7200mm,Top,90,THT
SW_SPEED1,156.2100mm,-45.7200mm,Top,0,THT
U1,191.7700mm,-54.6100mm,Top,270,SMD
U2,200.5950mm,-63.5000mm,Top,270,SMD
VCC-GND-Decoupling1,191.7700mm,-46.9900mm,Top,0,SMD
MECH_SW1,124.4600mm,-86.3600mm,Top,0,Mechanical / manual
MECH_SW2,124.4600mm,-105.4100mm,Top,0,Mechanical / manual
MECH_SW3,105.4100mm,-105.4100mm,Top,0,Mechanical / manual
MECH_SW4,143.5100mm,-105.4100mm,Top,0,Mechanical / manual
MECH_SW5,31.7500mm,-86.3600mm,Top,0,Mechanical / manual
MECH_SW6,217.1700mm,-86.3600mm,Top,0,Mechanical / manual
MECH_SW7,46.9900mm,-105.4100mm,Top,0,Mechanical / manual
MECH_SW8,201.9300mm,-105.4100mm,Top,0,Mechanical / manual
