"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"C1,C2,C3,VCC-GND-Decoupling1","4","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","Unpolarized capacitor"
"D1","1","POWER","","","","LED_THT:LED_D3.0mm","~","Light emitting diode"
"D2","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","100V 0.15A standard switching diode, DO-35"
"D4,D5","2","PESD5V0S4UD","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.st.com/content/ccc/resource/technical/document/datasheet/21/07/21/e3/a8/df/42/a2/CD00001906.pdf/files/CD00001906.pdf/jcr:content/translations/en.CD00001906.pdf","Quad bidirectional transil, Suppressor for ESD protection, 5V Standoff, 4 Channels, SOT-23-6"
"D6","1","PESD6V0L2UU","","","","Package_TO_SOT_SMD:SOT-323_SC-70","~","Dual Zener diode, common anode on pin 3"
"D7","1","LED_Dual_AKA","","","","LED_THT:LED_D3.0mm-3","~","Dual LED, common cathode on pin 2"
"F2","1","1206L005/30","","","","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","Resettable fuse, polymeric positive temperature coefficient"
"J1","1","DB9_JOYSTICK","","","","Connector_Wire:SolderWirePad_1x01_SMD_1.5x3mm","~","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)"
"Q1_Q_FIRE_INV1,Q2_Q_AF_INV1,Q3_Q_SHOT_BLOCK1,Q4_Q_FIRE1_SHOT1,Q5_Q_AF_NOBTN_CLAMP1,Q6_Q_AF_OFF_CLAMP1,Q7_Q_FIRE1_AF1","7","2N7002","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23"
"Q1_SLOW1,Q2_FAST1","2","MMBT3904","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf","0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23"
"R1,R2,R10,R11,R12,R15,R17,R20,R21","9","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Resistor"
"R3,R4,R5,R6,R7,R9,R23","7","330","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Resistor"
"R8,R16,R18,R19","4","100k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Resistor"
"R13","1","330K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Resistor"
"R14","1","680K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Resistor"
"R22","1","270","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Resistor"
"R_LED1","1","4k7","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Resistor"
"SW1","1","W","","","","PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX","~","Push button switch, generic, two pins"
"SW2","1","S","","","","PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX","~","Push button switch, generic, two pins"
"SW3","1","A","","","","PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX","~","Push button switch, generic, two pins"
"SW4","1","D","","","","PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX","~","Push button switch, generic, two pins"
"SW5","1","FIRE1_L","","","","PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX","~","Push button switch, generic, two pins"
"SW6","1","FIRE1_R","","","","PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX","~","Push button switch, generic, two pins"
"SW7","1","FIRE2_L","","","","PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX","~","Push button switch, generic, two pins"
"SW8","1","FIRE2_R","","","","PCM_Switch_Keyboard_Hotswap_Kailh:SW_Hotswap_Kailh_MX","~","Push button switch, generic, two pins"
"SW_AUTO1","1","SW_SPST","","","","ToggleSwitches:SW_100SP1T1B4M2QE","~","Single Pole Single Throw (SPST) switch"
"SW_SPEED1","1","SW_SP3T","","","","ToggleSwitches:SW_100SP3T1B1M2QEH","~","Switch, three position, single pole triple throw, 3 position switch, SP3T"
"U1","1","7555","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tlc555.pdf","Single LinCMOS Timer, 555 compatible, SOIC-8"
"U2","1","CD4066BM","","","","Package_SO:SO-14_3.9x8.65mm_P1.27mm","https://www.ti.com/lit/ds/symlink/cd4066b.pdf","Quad 20V analog SPST 1:1 switch, SO-14 (3.9x8.65mm)"
